"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"631e607a3749787c4d8b1e48","visit","video","https://media.dollarstreet.org/5d4bf27ccf0b3a0f3f35853c/5d4bf27ccf0b3a0f3f35853c_2048.jpg","5d4bddcacf0b3a0f3f3359be","The Americas","Colombia","family-25","144.688254","families"
"63435e1837497888608b7b92","visit","video","https://media.dollarstreet.org/5d4be9d3cf0b3a0f3f349598/5d4be9d3cf0b3a0f3f349598_2048.jpg","5d4bddc0cf0b3a0f3f33591a","Asia","Jordan","family-171","583","families"
"5fd04cd3f2d9500e435962c3","drinking-water","video","https://media.dollarstreet.org/5d4be947cf0b3a0f3f34852e/5d4be947cf0b3a0f3f34852e_2048.jpg","5d4bddbfcf0b3a0f3f335916","Europe","Ukraine","family-172","10090","families"
"63d308abcf65f9c9bb4a2a5d","visit","video","https://media.dollarstreet.org/5d4bf205cf0b3a0f3f3578a2/5d4bf205cf0b3a0f3f3578a2_2048.jpg","5d4bddcacf0b3a0f3f3359b7","The Americas","Haiti","family-66","38.9741533","families"
"5fd03e7cf2d9500e4359080d","drinking-water","video","https://media.dollarstreet.org/5d4bef7bcf0b3a0f3f35355a/5d4bef7bcf0b3a0f3f35355a_2048.jpg","5d4bddc7cf0b3a0f3f33598a","Asia","Nepal","family-87","146.4941649","families"
"5fd04ca6f2d9500e43596175","drinking-water","video","https://media.dollarstreet.org/5d4be96dcf0b3a0f3f34899c/5d4be96dcf0b3a0f3f34899c_2048.jpg","5d4bddbfcf0b3a0f3f335917","Europe","Ukraine","family-173","694","families"
"5fd047b2f2d9500e43594239","drinking-water","video","https://media.dollarstreet.org/5d4be61ecf0b3a0f3f34315b/5d4be61ecf0b3a0f3f34315b_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"63003407a568225b7621d289","visit","video","https://media.dollarstreet.org/5d4beadbcf0b3a0f3f34b38a/5d4beadbcf0b3a0f3f34b38a_2048.jpg","5d4bddc0cf0b3a0f3f335923","Asia","India","family-169","30.68690172","families"
"5fd0468bf2d9500e43593a36","drinking-water","video","https://media.dollarstreet.org/5d4bdedccf0b3a0f3f336b4b/5d4bdedccf0b3a0f3f336b4b_2048.jpg","5d4bddb2cf0b3a0f3f33583c","Europe","Serbia","family-339","239","families"
"5fd031ebf2d9500e4358b4f2","drinking-water","video","https://media.dollarstreet.org/5ec4fa37f0611d7ddd741e02/5ec4fa37f0611d7ddd741e02_2048.JPG","5ec3d7d8c099baca67d0a51a","Africa","Ethiopia","family-374","623","families"
"63e2cfd5e6c3edd9b1d10aa9","visit","video","https://media.dollarstreet.org/63e2cfd5e6c3edd9b1d10aa9/242bd3b23b441c994afbfae1497fcfb7/previews/2048_01.jpg","63e160744707e5b3cd6ce9a4","The Americas","Colombia","family-489","6740","families"
"649037f1671d043ab9bbdaad","visit","video","https://media.dollarstreet.org/64871197fe2b6b4afda46de3/03833e2be01bbf7b211aefd7f586e6cc/64871197fe2b6b4afda46de3_2048.jpg","64870fc261d76df7f86b4420","Africa","Kenya","cellina","45","families"
"5fd04bcaf2d9500e43595bbe","visit","video","https://media.dollarstreet.org/5d4bdf24cf0b3a0f3f337305/5d4bdf24cf0b3a0f3f337305_2048.jpg","5d4bddb2cf0b3a0f3f33584b","Africa","Togo","family-327","145","families"
"5fd02cc4a8444d0db97b4562","drinking-water","video","https://media.dollarstreet.org/5ec4fb47f0611d7ddd7426c7/5ec4fb47f0611d7ddd7426c7_2048. Agua potable","5ec3d7dac099baca67d0a531","The Americas","Colombia","family-360","654","families"
"5fd03b69f2d9500e4358f422","drinking-water","video","https://media.dollarstreet.org/5d4be98fcf0b3a0f3f348d98/5d4be98fcf0b3a0f3f348d98_2048.jpg","5d4bddbfcf0b3a0f3f335918","Asia","Jordan","family-179","7433.155246","families"
