"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"5fd04252f2d9500e43591e31","drying-clothes","video","https://media.dollarstreet.org/5f648f0821307223d2351b3f/5f648f0821307223d2351b3f_2048.jpg","5f625bd5d51b220267f51392","Asia","Pakistan","family-435","133","families"
"5fd02cc5a8444d0db97b4570","drying-clothes","video","https://media.dollarstreet.org/5fd02cc5a8444d0db97b4570/e77c2647afe1a150714835ba3691c3b7/previews/2048_01.jpg","5ec3d7dac099baca67d0a531","The Americas","Colombia","family-360","654","families"
"5fd229ea955d2f758665c518","drying-clothes","video","https://media.dollarstreet.org/5ec4f930f0611d7ddd74153d/5ec4f930f0611d7ddd74153d_2048.jpg","5ec3d7d6c099baca67d0a4fa","Europe","Spain","family-391","7639","families"
"6509b2e407478461a687f1a2","visit","video","https://media.dollarstreet.org/6509b2e407478461a687f1a2/f0fe203b66b0d3f1bfc99d8e28020d52/previews/2048_01.jpg","6487821e88b1ae0de8143e45","Africa","Kenya","nyaliak-kong-gai","62","families"
"5fd027ac1f89a90d2a769226","drying-clothes","video","https://media.dollarstreet.org/5d4be162cf0b3a0f3f33afa9/5d4be162cf0b3a0f3f33afa9_2048.JPG","5d4bddb7cf0b3a0f3f33588d","The Americas","Brazil","family-269","368","families"
"5fd04806f2d9500e43594478","drying-clothes","video","https://media.dollarstreet.org/5d4be287cf0b3a0f3f33ce09/5d4be287cf0b3a0f3f33ce09_2048.jpg","5d4bddb8cf0b3a0f3f3358a1","Africa","South Africa","family-252","751","families"
"5fd047c4f2d9500e435942dd","hanging-clothes-to-dry","video","https://media.dollarstreet.org/5fd047c4f2d9500e435942dd/4e211ba654d48e94f365439d3024ec90/previews/2048_01.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5fd03c0df2d9500e4358f82e","visit","video","https://media.dollarstreet.org/5fd03c0df2d9500e4358f82e/1d733b312679e928c698552afb9b3a32/previews/2048_01.jpg","5d4bddb8cf0b3a0f3f335896","Africa","Kenya","family-260","82","families"
"5fd04291f2d9500e43591f8d","drying-clothes","video","https://media.dollarstreet.org/5f8e1e14edcf69f3a716a20a/f1daa52a7f5cd30d61f41324b110115d/5f8e1e14edcf69f3a716a20a_2048.jpg","5f8c55d9a448a2f6d760a5f6","Asia","Pakistan","family-436","304","families"
"5d4bdfaccf0b3a0f3f338043","play-areas","img","https://media.dollarstreet.org/5d4bdfaccf0b3a0f3f338043/5d4bdfaccf0b3a0f3f338043_2048.JPG","5d4bddb4cf0b3a0f3f33585e","The Americas","Peru","family-308","398","families"
"5fd02c58a8444d0db97b425b","drying-clothes","video","https://media.dollarstreet.org/5ec4fb6ff0611d7ddd742814/5ec4fb6ff0611d7ddd742814.JPG","5ec3d7dac099baca67d0a536","The Americas","Colombia","family-358","1392","families"
"5d4bf444cf0b3a0f3f35b57e","drying-clothes","img","https://media.dollarstreet.org/5d4bf444cf0b3a0f3f35b57e/5d4bf444cf0b3a0f3f35b57e_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"5d4be731cf0b3a0f3f34501e","drying-clothes","img","https://media.dollarstreet.org/5d4be731cf0b3a0f3f34501e/5d4be731cf0b3a0f3f34501e_2048.jpg","5d4bddbccf0b3a0f3f3358db","Europe","Romania","family-213","162.7946519","families"
"5d4bf18acf0b3a0f3f356aee","drying-clothes","img","https://media.dollarstreet.org/5d4bf18acf0b3a0f3f356aee/5d4bf18acf0b3a0f3f356aee.jpg","5d4bddc9cf0b3a0f3f3359b1","Asia","India","family-57","397","families"
"5fd0363ef2d9500e4358d240","drying-clothes","video","https://media.dollarstreet.org/5d4be113cf0b3a0f3f33a689/5d4be113cf0b3a0f3f33a689.jpg","5d4bddb6cf0b3a0f3f335882","Asia","India","family-278","6606","families"
"5d4bead7cf0b3a0f3f34b2fc","drying-clothes","img","https://media.dollarstreet.org/5d4bead7cf0b3a0f3f34b2fc/5d4bead7cf0b3a0f3f34b2fc_2048.jpg","5d4bddc0cf0b3a0f3f335923","Asia","India","family-169","30.68690172","families"
"5d4bf42dcf0b3a0f3f35b2e2","drying-clothes","img","https://media.dollarstreet.org/5d4bf42dcf0b3a0f3f35b2e2/5d4bf42dcf0b3a0f3f35b2e2_2048.jpg","5d4bddcccf0b3a0f3f3359e1","Africa","South Africa","family-9","148.0735319","families"
"5d4bdefecf0b3a0f3f336f0d","drying-clothes","img","https://media.dollarstreet.org/5d4bdefecf0b3a0f3f336f0d/5d4bdefecf0b3a0f3f336f0d_2048.jpg","5d4bddb2cf0b3a0f3f335843","Europe","Serbia","family-333","430","families"
"5fd048fdf2d9500e43594a5f","drying-clothes","video","https://media.dollarstreet.org/5ec4f922f0611d7ddd7414c6/5ec4f922f0611d7ddd7414c6_2048.jpg","5ec3d7d6c099baca67d0a4f9","Europe","Spain","family-392","4256","families"
"5d4bf46bcf0b3a0f3f35b9ca","drying-clothes","img","https://media.dollarstreet.org/5d4bf46bcf0b3a0f3f35b9ca/5d4bf46bcf0b3a0f3f35b9ca_2048.jpg","5d4bddcccf0b3a0f3f3359e4","Africa","Burkina Faso","family-5","28.86121301","families"
"5d4bf275cf0b3a0f3f358464","drying-clothes","img","https://media.dollarstreet.org/5d4bf275cf0b3a0f3f358464/5d4bf275cf0b3a0f3f358464_2048.jpg","5d4bddcacf0b3a0f3f3359be","The Americas","Colombia","family-25","144.688254","families"
