"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"5fd0464ef2d9500e435938f9","visit","video","https://media.dollarstreet.org/5fd0464ef2d9500e435938f9/180543193aad29f25768eb4945ed1547/previews/2048_01.jpg","5d4bddb2cf0b3a0f3f335840","Europe","Serbia","family-336","207","families"
"5fd03508f2d9500e4358ca2c","visit","video","https://media.dollarstreet.org/5d4be2becf0b3a0f3f33d34f/5d4be2becf0b3a0f3f33d34f.jpg","5d4bddb9cf0b3a0f3f3358b7","Asia","India","family-239","753","families"
"626c9232e840ab8a6152b2c1","visit","video","https://media.dollarstreet.org/626c9232e840ab8a6152b2c1/85bd9874150d75fd7b51e2e2dcd72b44/previews/2048_01.jpg","62696abaa4c7d85f2ad5e5c9","The Americas","Colombia","family-447","1749","families"
"5fd04796f2d9500e435941a2","visit","video","https://media.dollarstreet.org/5fd04796f2d9500e435941a2/665ef209ef4b90828f43ffcd9e167b7d/previews/2048_01.jpg","5d4bddbacf0b3a0f3f3358c5","Africa","South Africa","family-231","90","families"
"62a6645c9280e37e64f9d7c1","visit","img","https://media.dollarstreet.org/62a6645c9280e37e64f9d7c1/1d5220b36b6cbf761440ed3f5f5a5073/62a6645c9280e37e64f9d7c1_2048.jpg","62a6057e9280e33271f96992","Africa","Kenya","family-408","198","families"
"5d4bec05cf0b3a0f3f34d513","front-doors","img","https://media.dollarstreet.org/5d4bec05cf0b3a0f3f34d513/5d4bec05cf0b3a0f3f34d513_2048.jpg","5d4bddc1cf0b3a0f3f335934","Europe","Bulgaria","family-151","653.5461596","families"
"5d4be816cf0b3a0f3f346947","front-doors","img","https://media.dollarstreet.org/5d4be816cf0b3a0f3f346947/5d4be816cf0b3a0f3f346947_2048.jpg","5d4bddbecf0b3a0f3f3358ff","Asia","China","family-184","10097.72176","families"
"5d4bf439cf0b3a0f3f35b454","front-doors","img","https://media.dollarstreet.org/5d4bf439cf0b3a0f3f35b454/5d4bf439cf0b3a0f3f35b454_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"5d4bec5ccf0b3a0f3f34dcf6","front-doors","img","https://media.dollarstreet.org/5d4bec5ccf0b3a0f3f34dcf6/5d4bec5ccf0b3a0f3f34dcf6_2048.jpg","5d4bddc2cf0b3a0f3f33593f","The Americas","Bolivia","family-148","180","families"
"629e7167068439bbcf19204d","visit","img","https://media.dollarstreet.org/629e7167068439bbcf19204d/f3bbdafa77c7e51fc67ed6b4a1c2e6bb/629e7167068439bbcf19204d_2048.jpg","629dbfadb15236a5876f419f","Africa","Kenya","family-404","645","families"
"5ec4f54e3f62767d97a47305","front-doors","img","https://media.dollarstreet.org/5ec4f54e3f62767d97a47305/5ec4f54e3f62767d97a47305_2048.jpg","5ec3d7d2c099baca67d0a4c2","Europe","France","family-434","14753","families"
"5d4beed7cf0b3a0f3f35223a","front-doors","img","https://media.dollarstreet.org/5d4beed7cf0b3a0f3f35223a/5d4beed7cf0b3a0f3f35223a_2048.jpg","5d4bddc6cf0b3a0f3f335978","Asia","Papua New Guinea","family-95","45.3","families"
"5ec4f81ef0611d7ddd740c05","front-doors","img","https://media.dollarstreet.org/5ec4f81ef0611d7ddd740c05/5ec4f81ef0611d7ddd740c05_2048.jpg","5ec3d7d5c099baca67d0a4e8","Asia","Nepal","family-412","172","families"
"5d4bebb5cf0b3a0f3f34cb91","front-doors","img","https://media.dollarstreet.org/5d4bebb5cf0b3a0f3f34cb91/ff081cd23558ef37c5f769a6cab8a99f/5d4bebb5cf0b3a0f3f34cb91_2048.jpg","5d4bddc1cf0b3a0f3f335932","The Americas","United States","family-152","604","families"
"5d4be61acf0b3a0f3f3430ff","front-doors","img","https://media.dollarstreet.org/5d4be61acf0b3a0f3f3430ff/5d4be61acf0b3a0f3f3430ff_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"64874a8ffe2b6b6b10a4791e","visit","img","https://media.dollarstreet.org/64874a8ffe2b6b6b10a4791e/45367787718b14876c7158a275ca35fe/64874a8ffe2b6b6b10a4791e_2048.jpg","64874827fe2b6b49a6a477b8","Africa","Kenya","elizabeth","47","families"
"5d4be731cf0b3a0f3f345018","front-doors","img","https://media.dollarstreet.org/5d4be731cf0b3a0f3f345018/5d4be731cf0b3a0f3f345018_2048.jpg","5d4bddbccf0b3a0f3f3358db","Europe","Romania","family-213","162.7946519","families"
"5ec4f7e4f0611d7ddd740a12","front-doors","img","https://media.dollarstreet.org/5ec4f7e4f0611d7ddd740a12/5ec4f7e4f0611d7ddd740a12_2048.jpg","5ec3d7d4c099baca67d0a4e3","Asia","Nepal","family-417","578","families"
"63e1710d21c8e300a057f4ee","visit","img","https://media.dollarstreet.org/63e1710d21c8e300a057f4ee/dfc6e80d28ea976a6758c66002af8dc8/63e1710d21c8e300a057f4ee.jpeg","63e160744707e5b3cd6ce9a4","The Americas","Colombia","family-489","6740","families"
"5d4bf1f0cf0b3a0f3f357642","front-doors","img","https://media.dollarstreet.org/5d4bf1f0cf0b3a0f3f357642/5d4bf1f0cf0b3a0f3f357642_2048.jpg","5d4bddcacf0b3a0f3f3359b7","The Americas","Haiti","family-66","38.9741533","families"
"62a263669280e3225bf7e138","visit","img","https://media.dollarstreet.org/62a263669280e3225bf7e138/cd11bdd7628522259bb0dc5b78003e7e/62a263669280e3225bf7e138_2048.jpg","62a20d649280e30a3ff77098","Africa","Kenya","family-405","179","families"
"5d4be950cf0b3a0f3f348636","front-doors","img","https://media.dollarstreet.org/5d4be950cf0b3a0f3f348636/5d4be950cf0b3a0f3f348636_2048.jpg","5d4bddbfcf0b3a0f3f335917","Europe","Ukraine","family-173","694","families"
"5d4be977cf0b3a0f3f348ab8","front-doors","img","https://media.dollarstreet.org/5d4be977cf0b3a0f3f348ab8/5d4be977cf0b3a0f3f348ab8_2048.jpg","5d4bddbfcf0b3a0f3f335918","Asia","Jordan","family-179","7433.155246","families"
"5d4beacecf0b3a0f3f34b1f2","front-doors","img","https://media.dollarstreet.org/5d4beacecf0b3a0f3f34b1f2/5d4beacecf0b3a0f3f34b1f2_2048.jpg","5d4bddc0cf0b3a0f3f335923","Asia","India","family-169","30.68690172","families"
"5d4bdfa4cf0b3a0f3f337fa7","front-doors","img","https://media.dollarstreet.org/5d4bdfa4cf0b3a0f3f337fa7/5d4bdfa4cf0b3a0f3f337fa7_2048.JPG","5d4bddb4cf0b3a0f3f33585d","The Americas","Peru","family-309","180","families"
"5ec4fa37f0611d7ddd741dfd","front-doors","img","https://media.dollarstreet.org/5ec4fa37f0611d7ddd741dfd/5ec4fa37f0611d7ddd741dfd_2048.JPG","5ec3d7d8c099baca67d0a51a","Africa","Ethiopia","family-374","623","families"
"5d4be92dcf0b3a0f3f34822e","front-doors","img","https://media.dollarstreet.org/5d4be92dcf0b3a0f3f34822e/5d4be92dcf0b3a0f3f34822e_2048.jpg","5d4bddbfcf0b3a0f3f335916","Europe","Ukraine","family-172","10090","families"
"64874312fe2b6b5bf1a4740d","visit","img","https://media.dollarstreet.org/64874312fe2b6b5bf1a4740d/d5b835372e60544ddb477d26d7139e3c/64874312fe2b6b5bf1a4740d_2048.jpg","64874092fe2b6b7eb8a47307","Africa","Kenya","malual-both-nyaboth","47","families"
"5d4bf2c5cf0b3a0f3f358dec","front-doors","img","https://media.dollarstreet.org/5d4bf2c5cf0b3a0f3f358dec/5d4bf2c5cf0b3a0f3f358dec_2048.jpg","5d4bddcbcf0b3a0f3f3359cb","Asia","Cambodia","family-26","195","families"
"5ec4fb41f0611d7ddd742697","front-doors","img","https://media.dollarstreet.org/5ec4fb41f0611d7ddd742697/5ec4fb41f0611d7ddd742697_2048. Puerta principal","5ec3d7dac099baca67d0a531","The Americas","Colombia","family-360","654","families"
"5d4be00dcf0b3a0f3f338a04","front-doors","img","https://media.dollarstreet.org/5d4be00dcf0b3a0f3f338a04/5d4be00dcf0b3a0f3f338a04.jpg","5d4bddb4cf0b3a0f3f335867","Africa","Nigeria","family-300","3750","families"
"5d4bf1d7cf0b3a0f3f35736c","front-doors","img","https://media.dollarstreet.org/5d4bf1d7cf0b3a0f3f35736c/5d4bf1d7cf0b3a0f3f35736c_2048.jpg","5d4bddcacf0b3a0f3f3359b6","The Americas","Haiti","family-52","43","families"
"5d4bdf40cf0b3a0f3f3375dd","front-doors","img","https://media.dollarstreet.org/5d4bdf40cf0b3a0f3f3375dd/5d4bdf40cf0b3a0f3f3375dd_2048.jpg","5d4bddb3cf0b3a0f3f33584f","Europe","Serbia","family-323","228","families"
"5d4bf2bacf0b3a0f3f358c94","front-doors","img","https://media.dollarstreet.org/5d4bf2bacf0b3a0f3f358c94/5d4bf2bacf0b3a0f3f358c94_2048.jpg","5d4bddcbcf0b3a0f3f3359c9","Asia","China","family-44","578.1396498","families"
"5d4befa9cf0b3a0f3f3539aa","front-doors","img","https://media.dollarstreet.org/5d4befa9cf0b3a0f3f3539aa/5d4befa9cf0b3a0f3f3539aa_2048.jpg","5d4bddc7cf0b3a0f3f33598f","The Americas","Mexico","family-99","6342","families"
"5d4bea8fcf0b3a0f3f34aa7c","front-doors","img","https://media.dollarstreet.org/5d4bea8fcf0b3a0f3f34aa7c/5d4bea8fcf0b3a0f3f34aa7c_2048.jpg","5d4bddc0cf0b3a0f3f335921","Asia","India","family-166","29.03138712","families"
"6298d7bacc66373d2ea6cefd","visit","img","https://media.dollarstreet.org/6298d7bacc66373d2ea6cefd/611068763105b7a92d2b2b03d60ddf8c/6298d7bacc66373d2ea6cefd_2048.jpg","62977c8e9d1d3c9df0de2a8f","Africa","Kenya","family-403","158","families"
"5d4be8d7cf0b3a0f3f34781e","front-doors","img","https://media.dollarstreet.org/5d4be8d7cf0b3a0f3f34781e/5d4be8d7cf0b3a0f3f34781e_2048.jpg","5d4bddbfcf0b3a0f3f335912","Europe","Romania","family-175","721.6929942","families"
"5d4be112cf0b3a0f3f33a65f","front-doors","img","https://media.dollarstreet.org/5d4be112cf0b3a0f3f33a65f/5d4be112cf0b3a0f3f33a65f_2048.jpg","5d4bddb6cf0b3a0f3f335882","Asia","India","family-278","6606","families"
"64873029fe2b6b1f6da470db","visit","img","https://media.dollarstreet.org/64873029fe2b6b1f6da470db/baf8cd92aed14596ec258db2fa16a01e/64873029fe2b6b1f6da470db_2048.jpg","64872dc5fe2b6b73b9a46f32","Africa","Kenya","thijin-makuei","47","families"
"65a192c9d61ce62207d64583","visit","img","https://media.dollarstreet.org/65a192c9d61ce62207d64583/25fc6bc2fc558515d66431629498c756/65a192c9d61ce62207d64583.jpeg","65a191d9d61ce6b4f9d644f1","The Americas","Colombia","family-479","250","families"
"5ec4f9caf0611d7ddd741a5e","front-doors","img","https://media.dollarstreet.org/5ec4f9caf0611d7ddd741a5e/5ec4f9caf0611d7ddd741a5e_2048.JPG","5ec3d7d7c099baca67d0a50d","Africa","Ethiopia","family-380","604","families"
"5ec4f92df0611d7ddd741526","front-doors","img","https://media.dollarstreet.org/5ec4f92df0611d7ddd741526/5ec4f92df0611d7ddd741526_2048.jpg","5ec3d7d6c099baca67d0a4fa","Europe","Spain","family-391","7639","families"
"5d4bf1bdcf0b3a0f3f357070","front-doors","img","https://media.dollarstreet.org/5d4bf1bdcf0b3a0f3f357070/5d4bf1bdcf0b3a0f3f357070_2048.jpg","5d4bddc9cf0b3a0f3f3359b5","The Americas","Haiti","family-56","39.53616613","families"
"5d4beececf0b3a0f3f35211c","front-doors","img","https://media.dollarstreet.org/5d4beececf0b3a0f3f35211c/5d4beececf0b3a0f3f35211c_2048.jpg","5d4bddc5cf0b3a0f3f335977","Asia","Philippines","family-83","193.8785291","families"
"5d4be194cf0b3a0f3f33b47d","front-doors","img","https://media.dollarstreet.org/5d4be194cf0b3a0f3f33b47d/5d4be194cf0b3a0f3f33b47d_2048.jpg","5d4bddb7cf0b3a0f3f335892","The Americas","Brazil","family-266","685","families"
"5d4beb78cf0b3a0f3f34c47a","front-doors","img","https://media.dollarstreet.org/5d4beb78cf0b3a0f3f34c47a/5d4beb78cf0b3a0f3f34c47a_2048.jpg","5d4bddc1cf0b3a0f3f33592c","Africa","Kenya","family-158","3267.97326","families"
"5d4bea70cf0b3a0f3f34a6e4","front-doors","img","https://media.dollarstreet.org/5d4bea70cf0b3a0f3f34a6e4/5d4bea70cf0b3a0f3f34a6e4_2048.jpg","5d4bddc0cf0b3a0f3f335920","Asia","India","family-165","49","families"
"5d4bdedccf0b3a0f3f336b43","front-doors","img","https://media.dollarstreet.org/5d4bdedccf0b3a0f3f336b43/5d4bdedccf0b3a0f3f336b43_2048.jpg","5d4bddb2cf0b3a0f3f33583c","Europe","Serbia","family-339","239","families"
"5d4be9b7cf0b3a0f3f349242","front-doors","img","https://media.dollarstreet.org/5d4be9b7cf0b3a0f3f349242/5d4be9b7cf0b3a0f3f349242_2048.jpg","5d4bddc0cf0b3a0f3f33591a","Asia","Jordan","family-171","583","families"
"5ec4f608f4a4fb7dc0387c37","front-doors","img","https://media.dollarstreet.org/5ec4f608f4a4fb7dc0387c37/5ec4f608f4a4fb7dc0387c37_2048.JPG","5ec3d7d3c099baca67d0a4cc","The Americas","Colombia","family-422","6030","families"
"5d4bf460cf0b3a0f3f35b896","front-doors","img","https://media.dollarstreet.org/5d4bf460cf0b3a0f3f35b896/5d4bf460cf0b3a0f3f35b896_2048.jpg","5d4bddcccf0b3a0f3f3359e4","Africa","Burkina Faso","family-5","28.86121301","families"
"62965c06e3c3b81ed8378482","visit","img","https://media.dollarstreet.org/62965c06e3c3b81ed8378482/a8430109c4890de44a98ddb5e85067b8/62965c06e3c3b81ed8378482_2048.jpg","629281922ff4d029e8c05dd9","Africa","Kenya","family-401","178","families"
"5f4aa526e39d6ec5ddf46c58","visit","img","https://media.dollarstreet.org/5f4aa526e39d6ec5ddf46c58/5f4aa526e39d6ec5ddf46c58_2048.jpg","5f4a925ec3fe4f07f3c0a7ad","Europe","Spain","family-488","800","families"
"5ec4f94ff0611d7ddd741641","front-doors","img","https://media.dollarstreet.org/5ec4f94ff0611d7ddd741641/5ec4f94ff0611d7ddd741641_2048.JPG","5ec3d7d8c099baca67d0a515","Asia","India","family-377","5795","families"
"5d4bf20ecf0b3a0f3f3579bc","front-doors","img","https://media.dollarstreet.org/5d4bf20ecf0b3a0f3f3579bc/5d4bf20ecf0b3a0f3f3579bc_2048.jpg","5d4bddcacf0b3a0f3f3359b8","The Americas","Haiti","family-51","50.7","families"
"6264b12c9a01581cdf94531c","visit","img","https://media.dollarstreet.org/6264b12c9a01581cdf94531c/49bdb5bc0f78e54dfcb05d267097ddc4/6264b12c9a01581cdf94531c_2048.jpg","62649c9e9a01580eb0945080","The Americas","Colombia","family-446","232","families"
"5d4bdf29cf0b3a0f3f337389","front-doors","img","https://media.dollarstreet.org/5d4bdf29cf0b3a0f3f337389/5d4bdf29cf0b3a0f3f337389_2048.JPG","5d4bddb2cf0b3a0f3f33584c","Africa","Togo","family-326","670","families"
"5ed42a29685870e51019a244","visit","img","https://media.dollarstreet.org/5ed42a29685870e51019a244/5ed42a29685870e51019a244_2048.jpg","5ed40876685870348919a1fd","Europe","France","family-425","7110","families"
