"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"5fd04d01f2d9500e435963d5","hand-washing","video","https://media.dollarstreet.org/5d4bed16cf0b3a0f3f34efaa/5d4bed16cf0b3a0f3f34efaa_2048.jpg","5d4bddc3cf0b3a0f3f335948","Asia","Vietnam","family-133","245.9813854","families"
"5fd0482ff2d9500e435944fb","hand-washing","video","https://media.dollarstreet.org/5d4be287cf0b3a0f3f33ce1d/5d4be287cf0b3a0f3f33ce1d_2048.jpg","5d4bddb8cf0b3a0f3f3358a1","Africa","South Africa","family-252","751","families"
"5fd047b6f2d9500e4359426d","hand-washing","video","https://media.dollarstreet.org/5d4be619cf0b3a0f3f3430e1/5d4be619cf0b3a0f3f3430e1_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5fd03ee2f2d9500e43590b51","hand-washing","video","https://media.dollarstreet.org/5d4bef55cf0b3a0f3f3530e0/5d4bef55cf0b3a0f3f3530e0_2048.jpg","5d4bddc6cf0b3a0f3f335982","Asia","Nepal","family-111","121.2854363","families"
"5fd0486af2d9500e4359463b","hand-washing","video","https://media.dollarstreet.org/5fd0486af2d9500e4359463b/2fa9a6ae54383634a2c470684839a826/previews/2048_01.jpg","5d4bddb3cf0b3a0f3f335852","Africa","South Africa","family-320","332","families"
"5fd0214e6c02ac0b987a48aa","hand-washing","video","https://media.dollarstreet.org/5ec4f8d2f0611d7ddd741219/5ec4f8d2f0611d7ddd741219_2048.JPG","5ec3d7d6c099baca67d0a4f3","Europe","Austria","family-398","1681","families"
"5fd026ee1f89a90d2a768e0d","hand-washing","video","https://media.dollarstreet.org/5fd026ee1f89a90d2a768e0d/b0be34ba2fe7a16aa768928aac9631c7/previews/2048_01.jpg","5d4bddb8cf0b3a0f3f335897","The Americas","Brazil","family-261","3356","families"
"5fd028461f89a90d2a769623","hand-washing","video","https://media.dollarstreet.org/5d4bf3a0cf0b3a0f3f35a592/5d4bf3a0cf0b3a0f3f35a592_2048.jpg","5d4bddcccf0b3a0f3f3359db","Africa","Burkina Faso","family-22","52.95427615","families"
"5fd0488df2d9500e43594713","hand-washing","video","https://media.dollarstreet.org/5d4bdf4fcf0b3a0f3f337721/5d4bdf4fcf0b3a0f3f337721_2048. wash hands","5d4bddb3cf0b3a0f3f335851","Africa","South Africa","family-321","448","families"
"629e952da65f852967698704","visit","img","https://media.dollarstreet.org/629e952da65f852967698704/e8164272d2bb74219d77d26ced45d661/629e952da65f852967698704_2048.jpg","629dbfadb15236a5876f419f","Africa","Kenya","family-404","645","families"
"5fd037e4f2d9500e4358dc6a","visit","video","https://media.dollarstreet.org/5d4be053cf0b3a0f3f339060/5d4be053cf0b3a0f3f339060.jpg","5d4bddb5cf0b3a0f3f335874","Asia","India","family-288","1742","families"
"5fd0471ff2d9500e43593e5d","visit","video","https://media.dollarstreet.org/5fd0471ff2d9500e43593e5d/e21ddd6580855c39192c1a7ecb717d16/previews/2048_01.jpg","5d4bddcccf0b3a0f3f3359e1","Africa","South Africa","family-9","148.0735319","families"
"5fd04745f2d9500e43593f7a","hand-washing","video","https://media.dollarstreet.org/5d4bdf46cf0b3a0f3f33766d/5d4bdf46cf0b3a0f3f33766d_2048. wash hands","5d4bddb3cf0b3a0f3f335850","Africa","South Africa","family-322","556","families"
"5ec4fb42f0611d7ddd7426a3","hand-washing","img","https://media.dollarstreet.org/5ec4fb42f0611d7ddd7426a3/5ec4fb42f0611d7ddd7426a3_2048. Lavamanos","5ec3d7dac099baca67d0a531","The Americas","Colombia","family-360","654","families"
"5ec4f54d3f62767d97a472fc","hand-washing","img","https://media.dollarstreet.org/5ec4f54d3f62767d97a472fc/5ec4f54d3f62767d97a472fc_2048.jpg","5ec3d7d2c099baca67d0a4c2","Europe","France","family-434","14753","families"
"5d4bf448cf0b3a0f3f35b5ee","hand-washing","img","https://media.dollarstreet.org/5d4bf448cf0b3a0f3f35b5ee/5d4bf448cf0b3a0f3f35b5ee_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"5d4bdfa5cf0b3a0f3f337fc1","hand-washing","img","https://media.dollarstreet.org/5d4bdfa5cf0b3a0f3f337fc1/5d4bdfa5cf0b3a0f3f337fc1_2048.JPG","5d4bddb4cf0b3a0f3f33585d","The Americas","Peru","family-309","180","families"
"5d4be6d6cf0b3a0f3f34466c","hand-washing","img","https://media.dollarstreet.org/5d4be6d6cf0b3a0f3f34466c/5d4be6d6cf0b3a0f3f34466c_2048.JPG","5d4bddbbcf0b3a0f3f3358d1","Asia","Palestine","family-221","624.4790354","families"
"5d4be01bcf0b3a0f3f338afe","hand-washing","img","https://media.dollarstreet.org/5d4be01bcf0b3a0f3f338afe/5d4be01bcf0b3a0f3f338afe_2048.JPG","5d4bddb4cf0b3a0f3f335867","Africa","Nigeria","family-300","3750","families"
"5d4beedacf0b3a0f3f35227e","cups","img","https://media.dollarstreet.org/5d4beedacf0b3a0f3f35227e/5d4beedacf0b3a0f3f35227e_2048.jpg","5d4bddc6cf0b3a0f3f335978","Asia","Papua New Guinea","family-95","45.3","families"
"5d4bf2c1cf0b3a0f3f358d74","hand-washing","img","https://media.dollarstreet.org/5d4bf2c1cf0b3a0f3f358d74/5d4bf2c1cf0b3a0f3f358d74_2048.jpg","5d4bddcbcf0b3a0f3f3359cb","Asia","Cambodia","family-26","195","families"
"5d4bec04cf0b3a0f3f34d4e3","hand-washing","img","https://media.dollarstreet.org/5d4bec04cf0b3a0f3f34d4e3/5d4bec04cf0b3a0f3f34d4e3_2048.jpg","5d4bddc1cf0b3a0f3f335934","Europe","Bulgaria","family-151","653.5461596","families"
"63e170c321c8e3441b57f491","visit","img","https://media.dollarstreet.org/63e170c321c8e3441b57f491/a890671a88f95a5d84398c2596262e7c/63e170c321c8e3441b57f491.jpeg","63e160744707e5b3cd6ce9a4","The Americas","Colombia","family-489","6740","families"
"5d4be730cf0b3a0f3f345000","hand-washing","img","https://media.dollarstreet.org/5d4be730cf0b3a0f3f345000/5d4be730cf0b3a0f3f345000.jpg","5d4bddbccf0b3a0f3f3358db","Europe","Romania","family-213","162.7946519","families"
"5d4bdf40cf0b3a0f3f3375cb","hand-washing","img","https://media.dollarstreet.org/5d4bdf40cf0b3a0f3f3375cb/5d4bdf40cf0b3a0f3f3375cb_2048.jpg","5d4bddb3cf0b3a0f3f33584f","Europe","Serbia","family-323","228","families"
