"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"62a63e809280e38799f991a8","visit","img","https://media.dollarstreet.org/62a63e809280e38799f991a8/66f3985d27fc1d85a731cf176e0c3640/62a63e809280e38799f991a8_2048.jpg","62a6057e9280e33271f96992","Africa","Kenya","family-408","198","families"
"5fd21937bdf7185f607a3548","visit","video","https://media.dollarstreet.org/5d4be7e9cf0b3a0f3f34643f/5d4be7e9cf0b3a0f3f34643f_2048.jpg","5d4bddbdcf0b3a0f3f3358f8","Asia","China","family-189","840","families"
"5ec4f54c3f62767d97a472f6","kitchens","img","https://media.dollarstreet.org/5ec4f54c3f62767d97a472f6/5ec4f54c3f62767d97a472f6_2048.jpg","5ec3d7d2c099baca67d0a4c2","Europe","France","family-434","14753","families"
"5d4bf44dcf0b3a0f3f35b696","kitchens","img","https://media.dollarstreet.org/5d4bf44dcf0b3a0f3f35b696/5d4bf44dcf0b3a0f3f35b696_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"5d4bec73cf0b3a0f3f34df52","kitchens","img","https://media.dollarstreet.org/5d4bec73cf0b3a0f3f34df52/5d4bec73cf0b3a0f3f34df52_2048.jpg","5d4bddc2cf0b3a0f3f33593f","The Americas","Bolivia","family-148","180","families"
"5d4bec03cf0b3a0f3f34d4d5","kitchens","img","https://media.dollarstreet.org/5d4bec03cf0b3a0f3f34d4d5/5d4bec03cf0b3a0f3f34d4d5_2048.jpg","5d4bddc1cf0b3a0f3f335934","Europe","Bulgaria","family-151","653.5461596","families"
"5d4be623cf0b3a0f3f3431fd","baking-tables","img","https://media.dollarstreet.org/5d4be623cf0b3a0f3f3431fd/5d4be623cf0b3a0f3f3431fd_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5d4beed6cf0b3a0f3f35220c","kitchens","img","https://media.dollarstreet.org/5d4beed6cf0b3a0f3f35220c/5d4beed6cf0b3a0f3f35220c_2048.jpg","5d4bddc6cf0b3a0f3f335978","Asia","Papua New Guinea","family-95","45.3","families"
"5ec4f81cf0611d7ddd740bfa","kitchens","img","https://media.dollarstreet.org/5ec4f81cf0611d7ddd740bfa/5ec4f81cf0611d7ddd740bfa_2048.jpg","5ec3d7d5c099baca67d0a4e8","Asia","Nepal","family-412","172","families"
"629dc28eb152366b0c6f41a2","visit","img","https://media.dollarstreet.org/629dc28eb152366b0c6f41a2/e0ea1fbbdb9ed190fed05c6dbd664878/629dc28eb152366b0c6f41a2_2048.jpg","629dbfadb15236a5876f419f","Africa","Kenya","family-404","645","families"
"63e16ff121c8e3024457f3be","visit","img","https://media.dollarstreet.org/63e16ff121c8e3024457f3be/61240f955a558b32f37047ef81a73be6/63e16ff121c8e3024457f3be.jpeg","63e160744707e5b3cd6ce9a4","The Americas","Colombia","family-489","6740","families"
