"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"5d4bf441cf0b3a0f3f35b51e","living-rooms","img","https://media.dollarstreet.org/5d4bf441cf0b3a0f3f35b51e/5d4bf441cf0b3a0f3f35b51e_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"62a653479280e35540f9b52b","visit","img","https://media.dollarstreet.org/62a653479280e35540f9b52b/9e66c0e6d4f41d642d43de61c2e82138/62a653479280e35540f9b52b_2048.jpg","62a6057e9280e33271f96992","Africa","Kenya","family-408","198","families"
"5fd041b1f2d9500e43591a9d","visit","video","https://media.dollarstreet.org/5d4be00acf0b3a0f3f3389bc/5d4be00acf0b3a0f3f3389bc_2048.jpg","5d4bddb4cf0b3a0f3f33586a","Africa","Nigeria","family-297","725","families"
"5ec4f54c3f62767d97a472f3","living-rooms","img","https://media.dollarstreet.org/5ec4f54c3f62767d97a472f3/5ec4f54c3f62767d97a472f3_2048.jpg","5ec3d7d2c099baca67d0a4c2","Europe","France","family-434","14753","families"
"5d4bea7ecf0b3a0f3f34a880","living-rooms","img","https://media.dollarstreet.org/5d4bea7ecf0b3a0f3f34a880/5d4bea7ecf0b3a0f3f34a880_2048.jpg","5d4bddc0cf0b3a0f3f335920","Asia","India","family-165","49","families"
"6265e89c1cf46ad59dc21c25","visit","img","https://media.dollarstreet.org/6265e89c1cf46ad59dc21c25/b76ae53eb7c6d8ca88c30a9ba67731b0/6265e89c1cf46ad59dc21c25_2048.jpg","62649c9e9a01580eb0945080","The Americas","Colombia","family-446","232","families"
"5fd03f91f2d9500e43590df0","visit","video","https://media.dollarstreet.org/5fd03f91f2d9500e43590df0/66bcf20b540f8c7ec121283edfc53b1a/previews/2048_01.jpg","5d4bddb5cf0b3a0f3f335877","Europe","Netherlands","family-284","1737","families"
"5d4be620cf0b3a0f3f34319f","living-rooms","img","https://media.dollarstreet.org/5d4be620cf0b3a0f3f34319f/5d4be620cf0b3a0f3f34319f_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5d4be728cf0b3a0f3f344f3c","living-rooms","img","https://media.dollarstreet.org/5d4be728cf0b3a0f3f344f3c/5d4be728cf0b3a0f3f344f3c_2048.jpg","5d4bddbccf0b3a0f3f3358db","Europe","Romania","family-213","162.7946519","families"
"5ec4f811f0611d7ddd740b92","living-rooms","img","https://media.dollarstreet.org/5ec4f811f0611d7ddd740b92/5ec4f811f0611d7ddd740b92_2048.jpg","5ec3d7d5c099baca67d0a4e7","Asia","Nepal","family-413","235","families"
"5ec4f980f0611d7ddd7417e3","living-rooms","img","https://media.dollarstreet.org/5ec4f980f0611d7ddd7417e3/5ec4f980f0611d7ddd7417e3_2048.jpg","5ec3d7d7c099baca67d0a500","Africa","Cameroon","family-385","745","families"
"63e1698921c8e3fd2457f322","visit","img","https://media.dollarstreet.org/63e1698921c8e3fd2457f322/b04404529da484126727ff95b6a39a93/63e1698921c8e3fd2457f322.jpeg","63e160744707e5b3cd6ce9a4","The Americas","Colombia","family-489","6740","families"
"5d4bf366cf0b3a0f3f359f38","living-rooms","img","https://media.dollarstreet.org/5d4bf366cf0b3a0f3f359f38/5d4bf366cf0b3a0f3f359f38_2048.jpg","5d4bddcccf0b3a0f3f3359d8","Africa","Burkina Faso","family-17","44.71243293","families"
