"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"6296712d066375f13fca0ce1","visit","img","https://media.dollarstreet.org/6296712d066375f13fca0ce1/6eaa6c0f8de09fadd54bc398a517483c/6296712d066375f13fca0ce1_2048.jpg","629281922ff4d029e8c05dd9","Africa","Kenya","family-401","178","families"
"5fd02f59f2d9500e4358a6d8","visit","video","https://media.dollarstreet.org/5ec4f75ef0611d7ddd740579/5ec4f75ef0611d7ddd740579.png","5ec3d7d3c099baca67d0a4d2","The Americas","Colombia","family-419","722","families"
"5fd03019f2d9500e4358a95f","visit","video","https://media.dollarstreet.org/5f85a4c8c4b8ff5fe9916aab/5f85a4c8c4b8ff5fe9916aab_2048.jpg","5f84c7e3866b830e54e0d356","The Americas","Colombia","family-1","4275","families"
"5d4bf438cf0b3a0f3f35b41c","places-for-dinner","img","https://media.dollarstreet.org/5d4bf438cf0b3a0f3f35b41c/5d4bf438cf0b3a0f3f35b41c_2048.jpg","5d4bddcccf0b3a0f3f3359e2","The Americas","Haiti","family-7","39.9","families"
"5d4bec6fcf0b3a0f3f34dee0","places-for-dinner","img","https://media.dollarstreet.org/5d4bec6fcf0b3a0f3f34dee0/5d4bec6fcf0b3a0f3f34dee0_2048.jpg","5d4bddc2cf0b3a0f3f33593f","The Americas","Bolivia","family-148","180","families"
"5d4bf28ecf0b3a0f3f358770","places-for-dinner","img","https://media.dollarstreet.org/5d4bf28ecf0b3a0f3f358770/5d4bf28ecf0b3a0f3f358770_2048.jpg","5d4bddcacf0b3a0f3f3359c1","Asia","China","family-45","694.218371","families"
"5d4be818cf0b3a0f3f346989","places-for-dinner","img","https://media.dollarstreet.org/5d4be818cf0b3a0f3f346989/5d4be818cf0b3a0f3f346989_2048.jpg","5d4bddbecf0b3a0f3f3358ff","Asia","China","family-184","10097.72176","families"
"5d4beed6cf0b3a0f3f352216","places-for-dinner","img","https://media.dollarstreet.org/5d4beed6cf0b3a0f3f352216/5d4beed6cf0b3a0f3f352216_2048.jpg","5d4bddc6cf0b3a0f3f335978","Asia","Papua New Guinea","family-95","45.3","families"
"5d4bf2c1cf0b3a0f3f358d80","places-for-dinner","img","https://media.dollarstreet.org/5d4bf2c1cf0b3a0f3f358d80/5d4bf2c1cf0b3a0f3f358d80_2048.jpg","5d4bddcbcf0b3a0f3f3359cb","Asia","Cambodia","family-26","195","families"
"5d4bec00cf0b3a0f3f34d483","places-for-dinner","img","https://media.dollarstreet.org/5d4bec00cf0b3a0f3f34d483/5d4bec00cf0b3a0f3f34d483_2048.jpg","5d4bddc1cf0b3a0f3f335934","Europe","Bulgaria","family-151","653.5461596","families"
"5ec4f5463f62767d97a472bf","places-for-dinner","img","https://media.dollarstreet.org/5ec4f5463f62767d97a472bf/5ec4f5463f62767d97a472bf_2048.jpg","5ec3d7d2c099baca67d0a4c2","Europe","France","family-434","14753","families"
"5d4bf472cf0b3a0f3f35ba8e","places-for-dinner","img","https://media.dollarstreet.org/5d4bf472cf0b3a0f3f35ba8e/5d4bf472cf0b3a0f3f35ba8e_2048.jpg","5d4bddcccf0b3a0f3f3359e4","Africa","Burkina Faso","family-5","28.86121301","families"
"5d4bdf3fcf0b3a0f3f3375af","places-for-dinner","img","https://media.dollarstreet.org/5d4bdf3fcf0b3a0f3f3375af/5d4bdf3fcf0b3a0f3f3375af_2048.jpg","5d4bddb3cf0b3a0f3f33584f","Europe","Serbia","family-323","228","families"
"62a0c33e7befe38fc6ce7d78","visit","img","https://media.dollarstreet.org/62a0c33e7befe38fc6ce7d78/00695149e95cf8df050266d9a9318f32/62a0c33e7befe38fc6ce7d78_2048.jpg","629dbfadb15236a5876f419f","Africa","Kenya","family-404","645","families"
"5d4be623cf0b3a0f3f3431fd","baking-tables","img","https://media.dollarstreet.org/5d4be623cf0b3a0f3f3431fd/5d4be623cf0b3a0f3f3431fd_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5d4bf20acf0b3a0f3f35793e","places-for-dinner","img","https://media.dollarstreet.org/5d4bf20acf0b3a0f3f35793e/5d4bf20acf0b3a0f3f35793e_2048.jpg","5d4bddcacf0b3a0f3f3359b7","The Americas","Haiti","family-66","38.9741533","families"
"5d4bf067cf0b3a0f3f354dd4","sofas","img","https://media.dollarstreet.org/5d4bf067cf0b3a0f3f354dd4/5d4bf067cf0b3a0f3f354dd4.jpg","5d4bddc8cf0b3a0f3f33599d","Africa","Kenya","family-67","174","families"
