"id","topics","media_type","images","familyid","region","country","slug","income","topic"
"5fd04344f2d9500e435923b7","washing-clothes","video","https://media.dollarstreet.org/5d4beecfcf0b3a0f3f352142/5d4beecfcf0b3a0f3f352142_2048.jpg","5d4bddc5cf0b3a0f3f335977","Asia","Philippines","family-83","193.8785291","families"
"63436dc3374978909a8b7c75","visit","video","https://media.dollarstreet.org/5d4be9cfcf0b3a0f3f349514/5d4be9cfcf0b3a0f3f349514_2048.jpg","5d4bddc0cf0b3a0f3f33591a","Asia","Jordan","family-171","583","families"
"62ef534660e97c71dc37123e","visit","video","https://media.dollarstreet.org/5d4be93fcf0b3a0f3f34844e/5d4be93fcf0b3a0f3f34844e_2048.jpg","5d4bddbfcf0b3a0f3f335916","Europe","Ukraine","family-172","10090","families"
"63d3151fcf65f9248e4a2eba","visit","video","https://media.dollarstreet.org/5d4bf202cf0b3a0f3f357848/5d4bf202cf0b3a0f3f357848_2048.jpg","5d4bddcacf0b3a0f3f3359b7","The Americas","Haiti","family-66","38.9741533","families"
"5ffe0b71977f6bbab066a911","visit","video","https://media.dollarstreet.org/5d4be4e5cf0b3a0f3f340eca/5d4be4e5cf0b3a0f3f340eca_2048.jpg","5d4bddb9cf0b3a0f3f3358b3","Africa","Cameroon","family-240","174","families"
"5fd04cbaf2d9500e43596224","washing-clothes","video","https://media.dollarstreet.org/5d4be967cf0b3a0f3f3488fa/5d4be967cf0b3a0f3f3488fa_2048.jpg","5d4bddbfcf0b3a0f3f335917","Europe","Ukraine","family-173","694","families"
"5fd047a0f2d9500e435941d6","washing-clothes","video","https://media.dollarstreet.org/5d4be61ccf0b3a0f3f343131/5d4be61ccf0b3a0f3f343131_2048.jpg","5d4bddbacf0b3a0f3f3358c4","Africa","South Africa","family-230","3755","families"
"5fd22854955d2f758665bb7a","washing-clothes","video","https://media.dollarstreet.org/5fd22854955d2f758665bb7a/260f472bd587f2ff6dcf5bba9fb9f607/previews/2048_01.jpg","5d4bddc0cf0b3a0f3f335923","Asia","India","family-169","30.68690172","families"
"63d9ac934707e57d8f6cd9ff","visit","video","https://media.dollarstreet.org/5d4bec6ccf0b3a0f3f34de84/5d4bec6ccf0b3a0f3f34de84_2048.jpg","5d4bddc2cf0b3a0f3f33593f","The Americas","Bolivia","family-148","180","families"
"5fd03219f2d9500e4358b66f","washing-clothes","video","https://media.dollarstreet.org/5ec4fa39f0611d7ddd741e0f/5ec4fa39f0611d7ddd741e0f_2048.JPG","5ec3d7d8c099baca67d0a51a","Africa","Ethiopia","family-374","623","families"
"5fd02fd1f2d9500e4358a84b","visit","video","https://media.dollarstreet.org/5ec4f60cf4a4fb7dc0387c53/5ec4f60cf4a4fb7dc0387c53_2048.JPG","5ec3d7d3c099baca67d0a4cc","The Americas","Colombia","family-422","6030","families"
"5fd04486f2d9500e43592cd0","washing-clothes","video","https://media.dollarstreet.org/5d4be732cf0b3a0f3f34502a/5d4be732cf0b3a0f3f34502a.jpg","5d4bddbccf0b3a0f3f3358db","Europe","Romania","family-213","162.7946519","families"
"5fd0440df2d9500e435929b5","washing-clothes","video","https://media.dollarstreet.org/5d4beea7cf0b3a0f3f351cac/5d4beea7cf0b3a0f3f351cac_2048.jpg","5d4bddc5cf0b3a0f3f335970","Asia","Philippines","family-116","170.2173637","families"
"5fd02cefa8444d0db97b4683","washing-clothes","video","https://media.dollarstreet.org/5ec4fb3cf0611d7ddd74266c/5ec4fb3cf0611d7ddd74266c_2048. Lavando ropa","5ec3d7dac099baca67d0a531","The Americas","Colombia","family-360","654","families"
"6362dc773749787c048bf37e","visit","video","https://media.dollarstreet.org/5d4be989cf0b3a0f3f348cd6/5d4be989cf0b3a0f3f348cd6_2048.jpg","5d4bddbfcf0b3a0f3f335918","Asia","Jordan","family-179","7433.155246","families"
"62d6a37931da6310247121c5","visit","video","https://media.dollarstreet.org/5d4bf369cf0b3a0f3f359fa0/5d4bf369cf0b3a0f3f359fa0_2048.jpg","5d4bddcccf0b3a0f3f3359d8","Africa","Burkina Faso","family-17","44.71243293","families"
"5fd03319f2d9500e4358bd12","washing-clothes","video","https://media.dollarstreet.org/5fd03319f2d9500e4358bd12/71dda02a514a7e3ac303281b81024695/previews/2048_01.jpg","5ec3d7d9c099baca67d0a52c","Africa","Ghana","family-363","213","families"
"6095d002a7a9dad87d80c90e","visit","video","https://media.dollarstreet.org/6095d002a7a9dad87d80c90e/a8dbfcccfdf6eb8817b48223425ab370/previews/2048_01.jpg","5d4bddbccf0b3a0f3f3358e4","Asia","Myanmar","family-205","591.4251925","families"
"5fd22a15955d2f758665c66b","washing-clothes","video","https://media.dollarstreet.org/5ec4f930f0611d7ddd74153c/5ec4f930f0611d7ddd74153c_2048.jpg","5ec3d7d6c099baca67d0a4fa","Europe","Spain","family-391","7639","families"
"5fd03379f2d9500e4358bf83","washing-clothes","video","https://media.dollarstreet.org/5d4bf1e7cf0b3a0f3f357522/5d4bf1e7cf0b3a0f3f357522_2048.jpg","5d4bddcacf0b3a0f3f3359b6","The Americas","Haiti","family-52","43","families"
"5fd229c3955d2f758665c413","washing-clothes","video","https://media.dollarstreet.org/5d4bdfa5cf0b3a0f3f337fbf/5d4bdfa5cf0b3a0f3f337fbf_2048.JPG","5d4bddb4cf0b3a0f3f33585d","The Americas","Peru","family-309","180","families"
"5fd0446cf2d9500e43592c72","visit","video","https://media.dollarstreet.org/5d4be8d7cf0b3a0f3f347838/5d4be8d7cf0b3a0f3f347838_2048.jpg","5d4bddbfcf0b3a0f3f335912","Europe","Romania","family-175","721.6929942","families"
"5fd0301ff2d9500e4358a96b","visit","video","https://media.dollarstreet.org/5f85a29bc4b8ff0784915fa1/5f85a29bc4b8ff0784915fa1_2048.jpg","5f84c7e3866b830e54e0d356","The Americas","Colombia","family-1","4275","families"
"5fd03405f2d9500e4358c379","washing-clothes","video","https://media.dollarstreet.org/5d4beaa0cf0b3a0f3f34ac84/5d4beaa0cf0b3a0f3f34ac84_2048.jpg","5d4bddc0cf0b3a0f3f335921","Asia","India","family-166","29.03138712","families"
"5fd04380f2d9500e4359256b","washing-clothes","video","https://media.dollarstreet.org/5d4bee71cf0b3a0f3f35166e/5d4bee71cf0b3a0f3f35166e_2048.jpg","5d4bddc5cf0b3a0f3f335969","Asia","Philippines","family-82","169.3261394","families"
"610c2e1340ffc73b24a78a54","visit","video","https://media.dollarstreet.org/610c2e1340ffc73b24a78a54/90c70617ab0d749e45231f659a18ca25/previews/2048_01.jpg","5ec3d7d7c099baca67d0a500","Africa","Cameroon","family-385","745","families"
"5fd03679f2d9500e4358d3d4","washing-clothes","video","https://media.dollarstreet.org/5d4be113cf0b3a0f3f33a685/5d4be113cf0b3a0f3f33a685.jpg","5d4bddb6cf0b3a0f3f335882","Asia","India","family-278","6606","families"
"5fd028e21f89a90d2a769a5b","washing-clothes","video","https://media.dollarstreet.org/5d4bf33fcf0b3a0f3f359be0/5d4bf33fcf0b3a0f3f359be0_2048.jpg","5d4bddcccf0b3a0f3f3359d7","Africa","Burundi","family-16","40.19755831","families"
"63d402a3cf65f944334a3259","visit","video","https://media.dollarstreet.org/5d4bedbdcf0b3a0f3f3502cc/5d4bedbdcf0b3a0f3f3502cc_2048.jpg","5d4bddc4cf0b3a0f3f335955","Africa","Tunisia","family-132","201","families"
"5fd027931f89a90d2a7691a8","washing-clothes","video","https://media.dollarstreet.org/5d4be195cf0b3a0f3f33b4a3/5d4be195cf0b3a0f3f33b4a3_2048.jpg","5d4bddb7cf0b3a0f3f335892","The Americas","Brazil","family-266","685","families"
"609193f93c22f770b860bacb","visit","video","https://media.dollarstreet.org/6057bb7aa1ce966701cfb2ba/a1bb651322b009c471db60ccdf2c1194/6057bb7aa1ce966701cfb2ba_2048.jpg","6057947e9d5f3b204a8373c5","Europe","Denmark","family-440","5343","families"
